"chr" "start" "end" "strand" "transcript_id" "exon_number"
"15852" "1" 27623917 27623929 "-" "ENST00000374005.8" 3
"15853" "1" 27625089 27625151 "-" "ENST00000374005.8" 2
"15854" "1" 27635065 27635185 "-" "ENST00000374005.8" 1
"15855" "20" 35801491 35801522 "+" "ENST00000374012.8" 2
"15856" "20" 35772015 35772079 "+" "ENST00000374012.8" 1
"15857" "6" 34696604 34696767 "-" "ENST00000374023.8" 1
"15858" "1" 27393794 27393798 "+" "ENST00000374024.4" 2
"15859" "1" 27392622 27392737 "+" "ENST00000374024.4" 1
"15860" "1" 27383240 27383333 "-" "ENST00000374030.3" 1
"15861" "6" 34544456 34544484 "-" "ENST00000374037.8" 2
"15862" "6" 34555929 34556329 "-" "ENST00000374037.8" 1
"15863" "9" 114806013 114806039 "-" "ENST00000374045.5" 1
"15864" "9" 114587769 114587838 "+" "ENST00000374050.4" 1
"15865" "1" 27322163 27322197 "+" "ENST00000374076.9" 1
"15866" "20" 35699405 35699456 "+" "ENST00000374077.8" 1
"15867" "X" 71118596 71118754 "+" "ENST00000374080.8" 1
"15868" "9" 114387860 114387982 "-" "ENST00000374088.8" 1
"15869" "9" 114381334 114381446 "-" "ENST00000374088.8" 2
"15870" "20" 35699289 35699352 "-" "ENST00000374092.9" 1
"15871" "10" 73697756 73698109 "-" "ENST00000374094.9" 1
"15872" "10" 49762239 49762323 "-" "ENST00000374103.9" 1
"15873" "10" 49758593 49758593 "-" "ENST00000374103.9" 2
"15874" "10" 49679651 49679697 "+" "ENST00000374111.8" 1
"15875" "20" 35655323 35655344 "-" "ENST00000374114.8" 3
"15876" "20" 35658930 35659014 "-" "ENST00000374114.8" 2
"15877" "20" 35664760 35664900 "-" "ENST00000374114.8" 1
"15878" "10" 49610310 49610740 "+" "ENST00000374115.5" 1
"15879" "9" 113876309 113876380 "+" "ENST00000374126.10" 1
"15880" "1" 26890097 26890283 "-" "ENST00000374135.9" 1
"15881" "10" 49395935 49396089 "-" "ENST00000374139.8" 1
"15882" "10" 49395441 49395521 "-" "ENST00000374139.8" 2
"15883" "1" 26826688 26826804 "+" "ENST00000374142.9" 1
"15884" "10" 49316145 49316247 "+" "ENST00000374144.8" 2
"15885" "10" 49322402 49322545 "+" "ENST00000374144.8" 3
"15886" "10" 49299170 49299233 "+" "ENST00000374144.8" 1
"15887" "10" 49188337 49188391 "-" "ENST00000374153.7" 1
"15888" "10" 48935177 48935275 "-" "ENST00000374160.8" 2
"15889" "10" 48939746 48939840 "-" "ENST00000374160.8" 1
"15890" "10" 48914156 48914232 "-" "ENST00000374160.8" 3
"15891" "9" 113413445 113413493 "+" "ENST00000374165.6" 2
"15892" "9" 113410747 113411001 "+" "ENST00000374165.6" 1
"15893" "1" 26529761 26529920 "+" "ENST00000374168.7" 1
"15894" "9" 113410294 113410408 "-" "ENST00000374171.5" 2
"15895" "9" 113410617 113410675 "-" "ENST00000374171.5" 1
"15896" "9" 113376729 113376986 "-" "ENST00000374180.4" 1
"15897" "9" 113375453 113375567 "-" "ENST00000374180.4" 2
"15898" "9" 113374355 113374529 "-" "ENST00000374180.4" 3
"15899" "9" 113349541 113349579 "+" "ENST00000374183.5" 1
"15900" "10" 48401612 48401660 "+" "ENST00000374189.6" 2
"15901" "10" 48306677 48306821 "+" "ENST00000374189.6" 1
"15902" "9" 113332023 113332050 "-" "ENST00000374193.9" 3
"15903" "9" 113336288 113336440 "-" "ENST00000374193.9" 2
"15904" "9" 113340217 113340275 "-" "ENST00000374193.9" 1
"15905" "9" 113275658 113275743 "+" "ENST00000374198.5" 1
"15906" "10" 48274568 48274696 "-" "ENST00000374201.8" 1
"15907" "X" 71111540 71111577 "-" "ENST00000374202.7" 1
"15908" "9" 113273329 113273438 "-" "ENST00000374206.4" 2
"15909" "9" 113275382 113275572 "-" "ENST00000374206.4" 1
"15910" "9" 113272508 113272548 "-" "ENST00000374206.4" 3
"15911" "9" 113256114 113256148 "+" "ENST00000374212.5" 2
"15912" "9" 113221544 113221678 "+" "ENST00000374212.5" 1
"15913" "1" 26317958 26318017 "+" "ENST00000374213.3" 1
"15914" "1" 26306592 26306636 "-" "ENST00000374222.6" 1
"15915" "1" 26302884 26302918 "-" "ENST00000374222.6" 2
"15916" "9" 113056689 113056724 "-" "ENST00000374227.8" 1
"15917" "9" 112890682 112890876 "-" "ENST00000374228.5" 1
"15918" "9" 112750760 112751001 "+" "ENST00000374232.8" 1
"15919" "9" 112716486 112716541 "-" "ENST00000374242.9" 2
"15920" "9" 112717987 112718117 "-" "ENST00000374242.9" 1
"15921" "X" 71106557 71106740 "-" "ENST00000374251.6" 1
"15922" "9" 112333470 112333619 "-" "ENST00000374257.6" 1
"15923" "9" 112297866 112297916 "-" "ENST00000374257.6" 2
"15924" "X" 71095851 71096528 "+" "ENST00000374259.8" 1
"15925" "1" 26169908 26169983 "+" "ENST00000374266.7" 1
"15926" "1" 26159079 26159126 "+" "ENST00000374268.5" 1
"15927" "1" 26161212 26161291 "+" "ENST00000374268.5" 2
"15928" "1" 26114292 26114308 "+" "ENST00000374269.2" 2
"15929" "1" 26111824 26111915 "+" "ENST00000374269.2" 1
"15930" "9" 112175236 112175297 "-" "ENST00000374270.8" 1
"15931" "1" 26067495 26067630 "-" "ENST00000374272.4" 1
"15932" "20" 35615829 35616003 "+" "ENST00000374273.8" 1
"15933" "X" 71068307 71068334 "-" "ENST00000374274.8" 1
"15934" "1" 26045897 26046118 "-" "ENST00000374276.4" 1
"15935" "9" 111896814 111897215 "+" "ENST00000374279.4" 1
"15936" "1" 26021775 26022646 "+" "ENST00000374280.4" 1
"15937" "1" 25990817 25990863 "-" "ENST00000374282.8" 2
"15938" "1" 25998025 25998063 "-" "ENST00000374282.8" 1
"15939" "9" 111661605 111661634 "+" "ENST00000374293.5" 1
"15940" "1" 25859358 25859457 "-" "ENST00000374298.4" 1
"15941" "X" 70930977 70931096 "-" "ENST00000374299.8" 1
"15942" "X" 70929998 70930022 "-" "ENST00000374299.8" 2
"15943" "1" 25823019 25823104 "+" "ENST00000374303.7" 2
"15944" "1" 25819954 25820029 "+" "ENST00000374303.7" 1
"15945" "10" 46462636 46462694 "-" "ENST00000374312.5" 3
"15946" "10" 46463730 46463885 "-" "ENST00000374312.5" 2
"15947" "10" 46465678 46465958 "-" "ENST00000374312.5" 1
"15948" "10" 46550737 46550742 "-" "ENST00000374314.6" 3
"15949" "10" 46554585 46554695 "-" "ENST00000374314.6" 2
"15950" "10" 46556498 46556658 "-" "ENST00000374314.6" 1
"15951" "10" 46579128 46579168 "+" "ENST00000374321.9" 1
"15952" "1" 25616791 25617797 "+" "ENST00000374332.9" 1
"15953" "X" 70907790 70907810 "-" "ENST00000374333.7" 2
"15954" "X" 70908654 70908711 "-" "ENST00000374333.7" 1
"15955" "1" 25543606 25543698 "+" "ENST00000374338.5" 1
"15956" "10" 46911428 46911501 "+" "ENST00000374339.5" 1
"15957" "10" 46932377 46932499 "+" "ENST00000374339.5" 2
"15958" "1" 25430897 25431098 "+" "ENST00000374343.5" 1
"15959" "1" 25338334 25338456 "+" "ENST00000374358.5" 1
"15960" "1" 25340474 25340486 "+" "ENST00000374358.5" 2
"15961" "X" 70444835 70445201 "+" "ENST00000374360.8" 1
"15962" "20" 35437929 35438228 "-" "ENST00000374369.8" 1
"15963" "1" 24745447 24745553 "+" "ENST00000374379.9" 1
"15964" "X" 70423314 70423382 "+" "ENST00000374382.4" 1
"15965" "X" 70424976 70424984 "+" "ENST00000374382.4" 2
"15966" "20" 35411964 35411973 "-" "ENST00000374385.10" 1
"15967" "10" 45374216 45374279 "+" "ENST00000374391.7" 1
"15968" "1" 24595424 24595430 "+" "ENST00000374392.3" 2
"15969" "1" 24556087 24556169 "+" "ENST00000374392.3" 1
"15970" "1" 24514314 24514372 "+" "ENST00000374395.9" 2
"15971" "1" 24502836 24503150 "+" "ENST00000374395.9" 1
"15972" "1" 24415802 24415904 "+" "ENST00000374399.9" 1
"15973" "1" 24419291 24419547 "+" "ENST00000374399.9" 2
"15974" "X" 70290438 70290458 "+" "ENST00000374403.4" 2
"15975" "X" 70290104 70290150 "+" "ENST00000374403.4" 1
"15976" "20" 35292305 35292425 "-" "ENST00000374408.4" 1
"15977" "2" 206765272 206765328 "-" "ENST00000374412.8" 1
"15978" "2" 206274663 206274946 "+" "ENST00000374423.9" 1
"15979" "2" 206279540 206279592 "+" "ENST00000374423.9" 2
"15980" "2" 206281801 206281849 "+" "ENST00000374423.9" 3
"15981" "10" 43646134 43646202 "-" "ENST00000374433.7" 2
"15982" "10" 43648802 43648881 "-" "ENST00000374433.7" 1
"15983" "1" 24112031 24112135 "-" "ENST00000374434.4" 1
"15984" "1" 24108637 24108654 "-" "ENST00000374434.4" 2
"15985" "10" 43558080 43558171 "-" "ENST00000374446.7" 4
"15986" "10" 43573637 43573677 "-" "ENST00000374446.7" 2
"15987" "10" 43574540 43574616 "-" "ENST00000374446.7" 1
"15988" "10" 43567899 43568021 "-" "ENST00000374446.7" 3
"15989" "9" 110668791 110668904 "+" "ENST00000374448.9" 1
"15990" "20" 35284488 35284492 "-" "ENST00000374450.8" 2
"15991" "20" 35284726 35284772 "-" "ENST00000374450.8" 1
"15992" "10" 43154897 43155149 "+" "ENST00000374466.4" 2
"15993" "10" 43138445 43138567 "+" "ENST00000374466.4" 1
"15994" "6" 33577605 33577635 "-" "ENST00000374467.4" 2
"15995" "6" 33580025 33580276 "-" "ENST00000374467.4" 1
"15996" "9" 110579544 110579741 "-" "ENST00000374469.6" 1
"15997" "1" 23913246 23913362 "-" "ENST00000374472.5" 1
"15998" "1" 23875618 23875662 "-" "ENST00000374472.5" 2
"15999" "X" 70282172 70282217 "+" "ENST00000374473.6" 1
"16000" "1" 23868287 23868290 "-" "ENST00000374479.4" 1
"16001" "1" 23825416 23825429 "-" "ENST00000374490.8" 1
"16002" "20" 35147259 35147336 "-" "ENST00000374492.8" 1
"16003" "1" 23791145 23791250 "+" "ENST00000374514.8" 1
"16004" "1" 23792657 23792682 "+" "ENST00000374514.8" 2
"16005" "6" 33412248 33412263 "+" "ENST00000374516.8" 2
"16006" "6" 33411014 33411215 "+" "ENST00000374516.8" 1
"16007" "9" 110256436 110256507 "-" "ENST00000374517.6" 1
"16008" "10" 42784362 42784394 "+" "ENST00000374518.6" 2
"16009" "10" 42782795 42782830 "+" "ENST00000374518.6" 1
"16010" "X" 70259625 70260204 "-" "ENST00000374519.4" 1
"16011" "X" 70234655 70234695 "+" "ENST00000374521.4" 1
"16012" "9" 109780198 109780488 "+" "ENST00000374530.8" 1
"16013" "9" 109463435 109463451 "-" "ENST00000374541.4" 2
"16014" "9" 109498219 109498307 "-" "ENST00000374541.4" 1
"16015" "6" 33321926 33321977 "-" "ENST00000374542.10" 2
"16016" "6" 33322862 33322959 "-" "ENST00000374542.10" 1
"16017" "X" 69616113 69616308 "+" "ENST00000374552.9" 1
"16018" "1" 23559427 23559501 "-" "ENST00000374561.6" 1
"16019" "9" 109320447 109321059 "-" "ENST00000374566.8" 1
"16020" "X" 69165372 69165453 "-" "ENST00000374571.5" 1
"16021" "X" 69163074 69163140 "-" "ENST00000374571.5" 2
"16022" "2" 202376327 202377474 "+" "ENST00000374580.10" 1
"16023" "9" 109119914 109119947 "-" "ENST00000374586.8" 1
"16024" "X" 68647666 68647882 "+" "ENST00000374599.8" 1
"16025" "6" 33289601 33289856 "+" "ENST00000374606.10" 1
"16026" "6" 33289171 33289239 "-" "ENST00000374617.9" 1
"16027" "1" 23194220 23195001 "-" "ENST00000374619.2" 2
"16028" "1" 23217291 23217502 "-" "ENST00000374619.2" 1
"16029" "1" 22710839 22710982 "+" "ENST00000374630.8" 1
"16030" "1" 22643633 22643714 "+" "ENST00000374640.9" 1
"16031" "1" 22644011 22644023 "+" "ENST00000374640.9" 2
"16032" "1" 22637610 22637616 "+" "ENST00000374642.8" 2
"16033" "1" 22636628 22636702 "+" "ENST00000374642.8" 1
"16034" "9" 108933864 108934124 "-" "ENST00000374647.10" 1
"16035" "9" 108931147 108931201 "-" "ENST00000374647.10" 2
"16036" "6" 33208500 33208644 "+" "ENST00000374656.5" 1
"16037" "6" 33208765 33208822 "+" "ENST00000374656.5" 2
"16038" "6" 33204655 33204668 "+" "ENST00000374662.4" 1
"16039" "9" 108855931 108855986 "-" "ENST00000374667.5" 1
"16040" "9" 107489173 107489769 "-" "ENST00000374672.5" 1
"16041" "6" 33200867 33201245 "+" "ENST00000374677.8" 1
"16042" "6" 33200477 33200665 "-" "ENST00000374680.4" 1
"16043" "X" 67544021 67545146 "+" "ENST00000374690.9" 1
"16044" "9" 105694541 105694660 "+" "ENST00000374692.8" 1
"16045" "10" 35641430 35642296 "-" "ENST00000374694.3" 1
"16046" "1" 21937218 21937310 "-" "ENST00000374695.8" 1
"16047" "2" 200586014 200586108 "+" "ENST00000374700.7" 1
"16048" "10" 35336509 35337053 "+" "ENST00000374704.8" 1
"16049" "X" 66638995 66639078 "-" "ENST00000374719.8" 1
"16050" "X" 66616021 66616030 "-" "ENST00000374719.8" 2
"16051" "9" 105244651 105244868 "+" "ENST00000374720.8" 1
"16052" "9" 104903680 104903771 "-" "ENST00000374736.8" 2
"16053" "9" 104927935 104928155 "-" "ENST00000374736.8" 1
"16054" "X" 66039999 66040080 "-" "ENST00000374737.9" 1
"16055" "17" 81666578 81666605 "-" "ENST00000374741.4" 1
"16056" "10" 35090179 35090341 "-" "ENST00000374749.8" 1
"16057" "10" 35071318 35071339 "-" "ENST00000374749.8" 2
"16058" "17" 81294922 81295307 "-" "ENST00000374759.8" 1
"16059" "9" 104764129 104764240 "+" "ENST00000374762.4" 1
"16060" "1" 21649761 21649796 "-" "ENST00000374765.9" 2
"16061" "1" 21620033 21620050 "-" "ENST00000374765.9" 4
"16062" "1" 21626304 21626397 "-" "ENST00000374765.9" 3
"16063" "1" 21669254 21669357 "-" "ENST00000374765.9" 1
"16064" "9" 104747683 104747792 "+" "ENST00000374767.5" 1
"16065" "10" 34814996 34815296 "-" "ENST00000374788.8" 1
"16066" "9" 104094309 104094477 "+" "ENST00000374793.8" 1
"16067" "9" 104095324 104095384 "+" "ENST00000374793.8" 2
"16068" "9" 102995333 102995380 "+" "ENST00000374798.8" 1
"16069" "9" 101594922 101594969 "-" "ENST00000374806.2" 1
"16070" "20" 34708691 34708739 "+" "ENST00000374810.8" 3
"16071" "20" 34705358 34705474 "+" "ENST00000374810.8" 2
"16072" "20" 34704344 34704512 "+" "ENST00000374810.8" 1
"16073" "X" 65534716 65534787 "-" "ENST00000374811.8" 1
"16074" "6" 32971595 32972898 "+" "ENST00000374825.9" 2
"16075" "6" 32968594 32969056 "+" "ENST00000374825.9" 1
"16076" "X" 64976378 64976450 "-" "ENST00000374839.8" 1
"16077" "1" 21553978 21554081 "+" "ENST00000374840.8" 2
"16078" "1" 21509423 21509517 "+" "ENST00000374840.8" 1
"16079" "6" 32953037 32953097 "-" "ENST00000374843.9" 1
"16080" "9" 101477093 101477169 "-" "ENST00000374848.8" 2
"16081" "9" 101486949 101487173 "-" "ENST00000374848.8" 1
"16082" "X" 64395364 64395452 "-" "ENST00000374852.4" 1
"16083" "6" 32854192 32854229 "+" "ENST00000374859.3" 1
"16084" "20" 34393791 34393811 "+" "ENST00000374864.10" 3
"16085" "20" 34369394 34369470 "+" "ENST00000374864.10" 2
"16086" "20" 34363273 34363349 "+" "ENST00000374864.10" 1
"16087" "9" 101398593 101398618 "-" "ENST00000374865.5" 1
"16088" "2" 189179605 189179761 "-" "ENST00000374866.9" 1
"16089" "10" 33334383 33334667 "-" "ENST00000374867.7" 1
"16090" "X" 64205570 64205708 "-" "ENST00000374869.8" 1
"16091" "X" 64193287 64193384 "-" "ENST00000374869.8" 2
"16092" "9" 101028727 101029102 "+" "ENST00000374874.8" 1
"16093" "9" 101185450 101185494 "+" "ENST00000374874.8" 2
"16094" "9" 100473149 100473544 "+" "ENST00000374879.5" 1
"16095" "6" 32843997 32844047 "-" "ENST00000374882.8" 1
"16096" "X" 63350820 63351332 "-" "ENST00000374884.3" 1
"16097" "X" 57592011 57592048 "+" "ENST00000374888.3" 1
"16098" "1" 21290415 21290463 "-" "ENST00000374893.11" 1
"16099" "6" 32838234 32838237 "-" "ENST00000374897.4" 2
"16100" "6" 32838653 32838739 "-" "ENST00000374897.4" 1
"16101" "X" 57286706 57286825 "+" "ENST00000374900.5" 1
"16102" "9" 100349364 100349372 "-" "ENST00000374902.9" 2
"16103" "9" 100352772 100352942 "-" "ENST00000374902.9" 1
"16104" "X" 57137260 57137397 "-" "ENST00000374906.4" 1
"16105" "X" 57136598 57136602 "-" "ENST00000374906.4" 2
"16106" "X" 56995216 56995541 "-" "ENST00000374919.6" 1
"16107" "X" 56994948 56994949 "-" "ENST00000374919.6" 2
"16108" "X" 56729243 56729353 "+" "ENST00000374922.9" 1
"16109" "6" 32741391 32741443 "+" "ENST00000374940.4" 1
"16110" "X" 55717749 55718327 "+" "ENST00000374941.9" 1
"16111" "X" 55263904 55263911 "-" "ENST00000374951.6" 2
"16112" "X" 55264546 55264916 "-" "ENST00000374951.6" 1
"16113" "20" 34260365 34260374 "+" "ENST00000374954.4" 2
"16114" "20" 34241423 34241489 "+" "ENST00000374954.4" 1
"16115" "X" 55220346 55220452 "+" "ENST00000374955.8" 1
"16116" "X" 55221375 55221382 "+" "ENST00000374955.8" 2
"16117" "X" 55090013 55090020 "+" "ENST00000374968.9" 2
"16118" "X" 55089018 55089103 "+" "ENST00000374968.9" 1
"16119" "X" 55075030 55075114 "+" "ENST00000374971.2" 1
"16120" "X" 55076034 55076041 "+" "ENST00000374971.2" 2
"16121" "6" 32530225 32530287 "-" "ENST00000374975.4" 1
"16122" "11" 124800381 124800406 "-" "ENST00000374979.8" 1
"16123" "20" 34112111 34112243 "-" "ENST00000374980.3" 1
"16124" "X" 55000363 55000422 "+" "ENST00000374987.4" 1
"16125" "9" 99105113 99105205 "+" "ENST00000374994.9" 1
"16126" "9" 98943907 98944061 "+" "ENST00000375001.8" 1
"16127" "X" 54994008 54994188 "-" "ENST00000375006.8" 1
"16128" "9" 98807670 98807698 "+" "ENST00000375011.4" 1
"16129" "6" 32223929 32224067 "-" "ENST00000375023.3" 1
"16130" "11" 123885426 123885670 "-" "ENST00000375026.7" 1
"16131" "6" 32192514 32192643 "-" "ENST00000375040.8" 1
"16132" "6" 32189916 32190202 "-" "ENST00000375050.6" 1
"16133" "X" 54809303 54809331 "+" "ENST00000375068.6" 2
"16134" "X" 54807745 54807802 "+" "ENST00000375068.6" 1
"16135" "1" 20589097 20589129 "+" "ENST00000375071.4" 1
"16136" "6" 32184223 32184253 "-" "ENST00000375076.9" 1
"16137" "9" 98192559 98192637 "-" "ENST00000375077.5" 1
"16138" "1" 20485380 20486210 "-" "ENST00000375078.4" 1
"16139" "6" 32178405 32178511 "+" "ENST00000375094.4" 1
"16140" "11" 120327441 120327441 "+" "ENST00000375095.3" 2
"16141" "11" 120325299 120325368 "+" "ENST00000375095.3" 1
"16142" "1" 20190547 20190561 "+" "ENST00000375099.4" 2
"16143" "1" 20186096 20186153 "+" "ENST00000375099.4" 1
"16144" "1" 20139323 20139427 "+" "ENST00000375102.4" 1
"16145" "1" 20119499 20119536 "-" "ENST00000375105.8" 1
"16146" "6" 32171497 32171505 "-" "ENST00000375107.8" 2
"16147" "6" 32175814 32176084 "-" "ENST00000375107.8" 1
"16148" "1" 20084821 20084830 "+" "ENST00000375108.4" 2
"16149" "1" 20070194 20070465 "+" "ENST00000375108.4" 1
"16150" "1" 19923560 19923617 "-" "ENST00000375116.3" 1
"16151" "9" 97922494 97922500 "-" "ENST00000375119.8" 1
"16152" "1" 19882395 19882513 "+" "ENST00000375120.4" 1
"16153" "1" 19815102 19815283 "-" "ENST00000375121.4" 1
"16154" "9" 97853226 97853914 "+" "ENST00000375123.5" 1
"16155" "9" 97697293 97697340 "-" "ENST00000375128.5" 1
"16156" "X" 54495433 54496234 "-" "ENST00000375135.4" 1
"16157" "1" 19655012 19655030 "+" "ENST00000375136.8" 2
"16158" "1" 19644311 19644446 "+" "ENST00000375136.8" 1
"16159" "9" 97633821 97633881 "+" "ENST00000375147.8" 1
"16160" "X" 54440404 54440421 "+" "ENST00000375151.5" 1
"16161" "1" 19312326 19312889 "+" "ENST00000375153.8" 1
"16162" "1" 19317600 19317677 "+" "ENST00000375153.8" 2
"16163" "6" 32129781 32129854 "-" "ENST00000375156.4" 2
"16164" "6" 32130095 32130288 "-" "ENST00000375156.4" 1
"16165" "X" 54183199 54183254 "-" "ENST00000375180.7" 1
"16166" "19" 3600635 3600717 "-" "ENST00000375190.10" 2
"16167" "19" 3606530 3606875 "-" "ENST00000375190.10" 1
"16168" "20" 33731996 33732021 "+" "ENST00000375200.6" 1
"16169" "6" 32128208 32128246 "-" "ENST00000375203.8" 1
"16170" "2" 173090998 173091031 "+" "ENST00000375213.8" 2
"16171" "2" 173075846 173076002 "+" "ENST00000375213.8" 1
"16172" "17" 75640166 75640201 "+" "ENST00000375215.3" 2
"16173" "17" 75633434 75634202 "+" "ENST00000375215.3" 1
"16174" "20" 33662327 33662345 "+" "ENST00000375222.4" 1
"16175" "9" 96655282 96655317 "-" "ENST00000375234.8" 1
"16176" "9" 96619379 96619843 "-" "ENST00000375241.6" 1
"16177" "9" 96450169 96450279 "+" "ENST00000375249.5" 1
"16178" "1" 19210249 19210266 "-" "ENST00000375254.8" 1
"16179" "2" 171434226 171434577 "+" "ENST00000375255.8" 1
"16180" "9" 96418033 96418370 "-" "ENST00000375256.5" 1
"16181" "2" 171392186 171392197 "-" "ENST00000375258.9" 2
"16182" "2" 171433883 171433990 "-" "ENST00000375258.9" 1
"16183" "9" 96302105 96302176 "-" "ENST00000375263.8" 1
"16184" "2" 170715337 170715512 "+" "ENST00000375281.4" 1
"16185" "13" 114281601 114281639 "+" "ENST00000375299.8" 1
"16186" "9" 94759649 94759783 "+" "ENST00000375315.8" 2
"16187" "9" 94726699 94726751 "+" "ENST00000375315.8" 1
"16188" "9" 94639311 94639518 "-" "ENST00000375326.9" 1
"16189" "X" 53422873 53423004 "+" "ENST00000375327.6" 1
"16190" "X" 53423314 53423402 "+" "ENST00000375327.6" 2
"16191" "9" 94593727 94593824 "-" "ENST00000375337.4" 1
"16192" "1" 18902524 18902555 "-" "ENST00000375341.8" 1
"16193" "9" 94374569 94374819 "+" "ENST00000375344.8" 1
"16194" "17" 74592203 74592283 "-" "ENST00000375352.1" 1
"16195" "13" 113759226 113759269 "+" "ENST00000375353.5" 1
"16196" "2" 168901291 168901331 "+" "ENST00000375363.8" 1
"16197" "17" 74361820 74361868 "-" "ENST00000375366.4" 1
"16198" "13" 113584753 113584888 "+" "ENST00000375370.10" 1
"16199" "13" 113585774 113585837 "+" "ENST00000375370.10" 2
"16200" "10" 30059482 30059586 "-" "ENST00000375377.2" 1
"16201" "10" 30047813 30047871 "-" "ENST00000375377.2" 2
"16202" "6" 31959175 31959192 "+" "ENST00000375394.7" 1
"16203" "X" 53224890 53225207 "-" "ENST00000375401.8" 1
"16204" "1" 17822985 17823008 "+" "ENST00000375406.2" 2
"16205" "1" 17755333 17755504 "+" "ENST00000375406.2" 1
"16206" "9" 93452710 93453581 "-" "ENST00000375412.11" 1
"16207" "6" 31958447 31958454 "-" "ENST00000375429.8" 2
"16208" "6" 31958892 31958971 "-" "ENST00000375429.8" 1
"16209" "13" 113364052 113364130 "-" "ENST00000375431.9" 1
"16210" "1" 17438515 17438522 "-" "ENST00000375436.9" 2
"16211" "1" 17439545 17439677 "-" "ENST00000375436.9" 1
"16212" "2" 165295773 165295823 "+" "ENST00000375437.7" 2
"16213" "2" 165239414 165239640 "+" "ENST00000375437.7" 1
"16214" "13" 113209613 113209627 "+" "ENST00000375440.9" 1
"16215" "X" 53082367 53082498 "+" "ENST00000375442.8" 1
"16216" "9" 93134218 93134251 "-" "ENST00000375446.5" 1
"16217" "1" 17308197 17308222 "+" "ENST00000375448.4" 1
"16218" "20" 33217352 33217536 "+" "ENST00000375454.8" 1
"16219" "1" 17249098 17249137 "+" "ENST00000375460.3" 1
"16220" "9" 93096217 93096345 "+" "ENST00000375464.7" 1
"16221" "1" 17205128 17205217 "+" "ENST00000375471.5" 1
"16222" "9" 93058701 93058742 "+" "ENST00000375472.8" 1
"16223" "11" 114594760 114594769 "-" "ENST00000375478.4" 2
"16224" "11" 114595592 114595786 "-" "ENST00000375478.4" 1
"16225" "9" 92975238 92975405 "+" "ENST00000375482.8" 2
"16226" "9" 92976208 92976256 "+" "ENST00000375482.8" 3
"16227" "9" 92947523 92947729 "+" "ENST00000375482.8" 1
"16228" "20" 33079643 33079703 "+" "ENST00000375483.4" 1
"16229" "20" 33080469 33080576 "+" "ENST00000375483.4" 2
"16230" "20" 33081512 33081526 "+" "ENST00000375483.4" 3
"16231" "1" 17119372 17119451 "-" "ENST00000375486.9" 1
"16232" "11" 114400666 114400671 "+" "ENST00000375490.10" 1
"16233" "20" 33055422 33055435 "+" "ENST00000375494.4" 2
"16234" "20" 33053903 33053965 "+" "ENST00000375494.4" 1
"16235" "9" 92877890 92878038 "-" "ENST00000375495.8" 1
"16236" "9" 92875030 92875059 "-" "ENST00000375495.8" 2
"16237" "1" 17054020 17054032 "-" "ENST00000375499.8" 1
"16238" "X" 52811548 52811719 "+" "ENST00000375501.2" 2
"16239" "X" 52812559 52812566 "+" "ENST00000375501.2" 3
"16240" "X" 52811287 52811412 "+" "ENST00000375501.2" 1
"16241" "X" 52797349 52797427 "-" "ENST00000375511.4" 1
"16242" "6" 31901837 31902086 "-" "ENST00000375527.3" 1
"16243" "6" 31901306 31901325 "-" "ENST00000375527.3" 2
"16244" "10" 28677521 28677897 "+" "ENST00000375533.6" 1
"16245" "1" 16978274 16978314 "-" "ENST00000375535.4" 2
"16246" "1" 16980587 16980620 "-" "ENST00000375535.4" 1
"16247" "6" 31897678 31897698 "-" "ENST00000375537.9" 1
"16248" "1" 16921931 16922018 "+" "ENST00000375541.10" 1
"16249" "13" 113158648 113158660 "+" "ENST00000375547.7" 1
"16250" "11" 112086873 112086907 "+" "ENST00000375549.8" 1
"16251" "9" 92424202 92424471 "-" "ENST00000375550.5" 1
"16252" "9" 92417559 92417574 "-" "ENST00000375550.5" 2
"16253" "13" 113122799 113122855 "+" "ENST00000375559.8" 1
"16254" "9" 92404496 92404578 "-" "ENST00000375561.10" 1
"16255" "9" 92403408 92403482 "-" "ENST00000375561.10" 2
"16256" "20" 32819954 32820028 "+" "ENST00000375571.6" 1
"16257" "20" 32825925 32825927 "+" "ENST00000375571.6" 2
"16258" "9" 92325953 92325998 "+" "ENST00000375587.8" 1
"16259" "1" 16315419 16315435 "-" "ENST00000375592.8" 2
"16260" "1" 16352255 16352480 "-" "ENST00000375592.8" 1
"16261" "1" 16236743 16237183 "-" "ENST00000375599.8" 1
"16262" "X" 52497316 52497361 "+" "ENST00000375602.2" 2
"16263" "X" 52495808 52495909 "+" "ENST00000375602.2" 1
"16264" "11" 111540720 111540843 "+" "ENST00000375614.7" 1
"16265" "X" 52516980 52517063 "-" "ENST00000375616.6" 1
"16266" "X" 52515528 52515573 "-" "ENST00000375616.6" 2
"16267" "11" 111514778 111514784 "+" "ENST00000375618.9" 1
"16268" "6" 31862777 31862821 "-" "ENST00000375631.5" 1
"16269" "13" 112690038 112690416 "+" "ENST00000375645.8" 1
"16270" "1" 22451851 22452004 "+" "ENST00000375647.5" 1
"16271" "1" 22489880 22489948 "+" "ENST00000375647.5" 2
"16272" "6" 31827738 31827950 "+" "ENST00000375650.5" 1
"16273" "6" 31815543 31815756 "+" "ENST00000375651.7" 1
"16274" "6" 31811973 31811985 "-" "ENST00000375654.5" 2
